Algorithm,Art,Product,Real_World,Average
ERM,44.42 ± 0.64,56.3 ± 0.39,58.51 ± 0.74,54.59 ± 0.42
MixUp,32.18 ± 0.94,46.81 ± 1.28,47.2 ± 1.19,43.8 ± 1.17
CutMix,34.97 ± 1.0,51.88 ± 1.67,51.47 ± 1.7,48.06 ± 1.5
AugMix,44.55 ± 0.42,57.66 ± 0.67,59.44 ± 0.31,55.51 ± 0.44
RandAugment,44.83 ± 0.74,59.31 ± 0.48,60.25 ± 0.73,56.54 ± 0.58
CutOut,41.7 ± 0.3,55.45 ± 0.79,56.51 ± 0.56,52.89 ± 0.36
RSC,42.8 ± 0.84,52.52 ± 0.84,55.47 ± 0.62,51.56 ± 0.72
SN,27.12 ± 0.95,41.69 ± 1.27,43.14 ± 1.36,39.1 ± 1.2
SRN,26.88 ± 0.9,41.21 ± 1.21,42.93 ± 0.77,38.78 ± 0.85
MEADA,43.7 ± 1.06,56.09 ± 0.5,58.0 ± 0.73,54.16 ± 0.62
L2D,38.29 ± 1.38,48.69 ± 1.52,52.46 ± 0.94,47.91 ± 1.14
PixMix,42.79 ± 1.13,56.04 ± 0.42,56.45 ± 0.89,53.34 ± 0.55
ACVC,40.95 ± 1.54,53.41 ± 0.76,55.29 ± 1.44,51.44 ± 0.99
OURS_G,49.64 ± 0.51,65.2 ± 0.47,67.2 ± 0.49,62.61 ± 0.19
OURS_SD,47.69 ± 0.87,63.47 ± 0.68,65.15 ± 0.8,60.71 ± 0.48
Con,47.04 ± 0.79,62.99 ± 0.63,64.79 ± 0.36,60.24 ± 0.09
Mod,46.08 ± 0.84,63.43 ± 0.57,64.0 ± 0.55,59.9 ± 0.59
