Algorithm,Art,Clipart,Real_World,Average
ERM,41.38 ± 0.69,39.86 ± 0.48,66.18 ± 0.48,50.47 ± 0.31
MixUp,33.23 ± 1.63,32.34 ± 1.13,58.41 ± 1.8,42.72 ± 1.44
CutMix,32.26 ± 0.21,31.29 ± 0.88,58.06 ± 0.61,41.96 ± 0.43
AugMix,43.62 ± 0.43,43.32 ± 1.54,67.2 ± 0.38,52.72 ± 0.75
RandAugment,41.6 ± 0.82,46.37 ± 0.54,66.55 ± 0.31,53.22 ± 0.4
CutOut,40.13 ± 0.52,38.24 ± 0.72,64.63 ± 0.19,48.97 ± 0.19
RSC,38.57 ± 0.42,40.03 ± 0.67,63.13 ± 0.39,48.74 ± 0.21
SN,22.02 ± 0.69,34.77 ± 1.7,46.47 ± 1.68,36.56 ± 1.42
SRN,23.52 ± 0.88,34.36 ± 1.03,48.55 ± 1.0,37.55 ± 0.69
MEADA,41.11 ± 0.22,40.08 ± 0.5,66.08 ± 0.38,50.46 ± 0.25
L2D,37.25 ± 1.06,43.55 ± 0.51,60.52 ± 1.01,48.81 ± 0.72
PixMix,42.12 ± 1.74,41.0 ± 0.64,64.6 ± 0.73,50.47 ± 0.62
ACVC,38.61 ± 0.32,42.66 ± 0.63,62.63 ± 0.49,49.58 ± 0.39
OURS_G,48.2 ± 0.53,45.33 ± 0.87,71.3 ± 0.38,56.1 ± 0.4
OURS_SD,45.83 ± 0.84,50.32 ± 0.65,70.19 ± 0.38,57.11 ± 0.53
Con,45.79 ± 0.65,48.55 ± 0.84,69.29 ± 0.6,56.05 ± 0.51
Mod,43.2 ± 0.85,46.11 ± 0.36,66.95 ± 0.53,53.62 ± 0.47
