Algorithm,art_painting,photo,cartoon,Average
ERM,37.98 ± 4.26,47.12 ± 2.29,60.24 ± 3.11,49.1 ± 3.06
MixUp,29.84 ± 3.44,39.46 ± 3.53,46.85 ± 8.41,39.07 ± 4.97
CutMix,28.55 ± 2.72,37.37 ± 2.32,50.0 ± 1.64,39.28 ± 1.57
AugMix,50.21 ± 2.91,56.78 ± 2.36,64.61 ± 2.09,57.59 ± 2.32
RandAugment,50.46 ± 1.38,58.39 ± 4.23,64.82 ± 1.56,58.2 ± 1.7
CutOut,36.88 ± 3.25,49.25 ± 2.56,58.95 ± 0.91,48.82 ± 1.99
RSC,45.64 ± 4.29,51.58 ± 2.9,61.98 ± 2.56,53.6 ± 2.91
SN,26.04 ± 2.95,24.22 ± 3.27,55.58 ± 1.62,36.96 ± 2.44
SRN,28.34 ± 5.14,26.77 ± 4.35,56.59 ± 2.59,38.83 ± 3.79
MEADA,33.94 ± 5.96,41.78 ± 6.31,60.63 ± 3.83,46.42 ± 4.67
L2D,44.04 ± 4.07,52.04 ± 2.49,63.7 ± 1.42,53.84 ± 2.19
PixMix,42.97 ± 1.07,51.44 ± 1.91,59.29 ± 1.75,51.61 ± 0.97
ACVC,53.38 ± 1.52,58.47 ± 1.45,64.18 ± 0.47,58.96 ± 0.76
OURS_G,41.44 ± 10.57,51.22 ± 14.4,68.68 ± 4.84,54.66 ± 9.31
OURS_SD,56.68 ± 1.96,81.03 ± 1.84,74.75 ± 1.64,70.37 ± 1.23
Con,55.08 ± 4.03,76.37 ± 1.36,69.15 ± 1.54,66.39 ± 1.64
Mod,60.77 ± 3.36,78.71 ± 4.29,70.91 ± 1.6,69.63 ± 2.83
