,Algorithm,art_painting,sketch,cartoon,Average
0,0,74.66,70.15,69.11,70.97
1,1,72.71,70.78,74.87,72.41
2,2,70.61,68.69,70.56,69.69
3,3,75.2,68.67,73.55,71.65
4,4,77.15,64.67,73.38,70.2
5,5,75.0,71.15,72.53,65.51
6,6,74.32,69.13,74.32,71.87
7,7,66.41,55.0,62.24,59.85
8,8,73.0,65.84,68.17,68.26
9,9,74.22,68.39,68.9,69.97
10,10,71.09,56.2,57.85,60.33
11,11,71.88,69.66,66.3,69.26
12,12,72.07,54.9,62.16,61.17
13,13,71.44,68.75,67.53,69.07
14,14,69.97,61.26,63.91,64.15
15,15,69.63,54.31,57.21,58.9
16,0,67.19,55.13,59.68,59.38
17,1,73.14,70.35,73.59,71.95
18,2,75.05,67.85,72.95,71.06
19,3,74.12,73.12,72.78,73.27
20,4,75.05,67.63,76.79,72.03
21,5,72.02,71.47,75.95,72.02
22,6,73.1,67.68,73.08,70.53
23,7,74.66,71.62,72.61,72.65
24,8,72.46,69.74,67.32,69.73
25,9,72.41,62.66,66.38,66.11
26,10,73.05,60.37,67.02,65.36
27,11,70.75,66.38,67.36,67.73
28,12,74.17,67.55,66.81,68.97
29,13,71.39,62.56,66.08,65.73
30,14,71.63,64.06,69.54,67.47
31,15,73.39,64.16,68.86,67.76
32,0,73.14,65.21,71.03,68.8
33,1,74.32,59.02,67.92,65.29
34,2,71.44,61.03,72.7,66.88
35,3,69.53,61.26,66.04,64.64
36,4,71.24,69.15,65.87,68.74
37,5,76.27,69.15,70.09,63.91
38,6,73.88,69.76,73.38,71.79
39,7,73.19,72.61,71.76,72.52
40,8,70.85,60.22,64.8,64.13
41,9,68.07,62.92,56.14,62.28
42,10,72.56,64.9,66.55,
43,11,72.31,64.9,67.83,67.55
44,12,74.17,57.16,65.57,63.72
45,13,66.85,59.4,64.16,62.58
46,14,69.97,64.34,67.49,66.61
47,15,66.26,61.36,69.28,64.8
